2019-07-15 17:49:18,360 charges_calc.py:128 DEBUG logger set up with level 3
2019-07-15 17:49:18,366 charges_calc.py:130 DEBUG data gathered from JSON file source.json
2019-07-15 17:49:18,370 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT001
2019-07-15 17:49:18,370 charges_calc.py:61  DEBUG total price for RNT001 is 2542
2019-07-15 17:49:18,372 charges_calc.py:61  DEBUG total price for RNT002 is 12832
2019-07-15 17:49:18,372 charges_calc.py:61  DEBUG total price for RNT003 is 19560
2019-07-15 17:49:18,372 charges_calc.py:61  DEBUG total price for RNT004 is 19200
2019-07-15 17:49:18,373 charges_calc.py:61  DEBUG total price for RNT005 is 3493
2019-07-15 17:49:18,373 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT006
2019-07-15 17:49:18,373 charges_calc.py:61  DEBUG total price for RNT006 is 560
2019-07-15 17:49:18,374 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT007
2019-07-15 17:49:18,374 charges_calc.py:61  DEBUG total price for RNT007 is 640
2019-07-15 17:49:18,374 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT008
2019-07-15 17:49:18,374 charges_calc.py:61  DEBUG total price for RNT008 is 1356
2019-07-15 17:49:18,374 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT009
2019-07-15 17:49:18,374 charges_calc.py:61  DEBUG total price for RNT009 is 4968
2019-07-15 17:49:18,375 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT010
2019-07-15 17:49:18,375 charges_calc.py:61  DEBUG total price for RNT010 is 5400
2019-07-15 17:49:18,375 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT011
2019-07-15 17:49:18,375 charges_calc.py:61  DEBUG total price for RNT011 is 13468
2019-07-15 17:49:18,375 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT012
2019-07-15 17:49:18,375 charges_calc.py:61  DEBUG total price for RNT012 is 11664
2019-07-15 17:49:18,375 charges_calc.py:61  DEBUG total price for RNT013 is 2090
2019-07-15 17:49:18,376 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT014
2019-07-15 17:49:18,376 charges_calc.py:61  DEBUG total price for RNT014 is 6808
2019-07-15 17:49:18,376 charges_calc.py:61  DEBUG total price for RNT015 is 12064
2019-07-15 17:49:18,376 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT016
2019-07-15 17:49:18,376 charges_calc.py:61  DEBUG total price for RNT016 is 9504
2019-07-15 17:49:18,376 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT017
2019-07-15 17:49:18,376 charges_calc.py:61  DEBUG total price for RNT017 is 612
2019-07-15 17:49:18,377 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT018
2019-07-15 17:49:18,377 charges_calc.py:61  DEBUG total price for RNT018 is 8640
2019-07-15 17:49:18,377 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT019
2019-07-15 17:49:18,377 charges_calc.py:61  DEBUG total price for RNT019 is 22815
2019-07-15 17:49:18,377 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT020
2019-07-15 17:49:18,377 charges_calc.py:61  DEBUG total price for RNT020 is 29370
2019-07-15 17:49:18,377 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT021
2019-07-15 17:49:18,378 charges_calc.py:61  DEBUG total price for RNT021 is 18777
2019-07-15 17:49:18,378 charges_calc.py:61  DEBUG total price for RNT022 is 5516
2019-07-15 17:49:18,378 charges_calc.py:61  DEBUG total price for RNT023 is 15880
2019-07-15 17:49:18,378 charges_calc.py:61  DEBUG total price for RNT024 is 9980
2019-07-15 17:49:18,378 charges_calc.py:52  DEBUG total days is negative, switching rental start and end for RNT025
